X,M,TE,TE_CI_low,TE_CI_high,NIE,NIE_CI_low,NIE_CI_high,NDE,NDE_CI_low,NDE_CI_high,Prop_Mediated,indirect_p,N,Bootstrap_N,indirect_p_fdr,significant_fdr
Location,PDGFR-α,0.1122983699743537,-0.06889761426383237,0.28941691670358816,-0.007498298943219201,-0.038465140580992485,0.010545610975952914,0.1197966689175729,-0.06243395144119756,0.2938573993804538,-0.06677121800549407,0.467935871743487,433,1996,1.0,False
Location,Dog-1,0.10888052280670389,-0.0743954770313485,0.2870099619712541,-0.023306256428843222,-0.06534125484442312,0.0021168734877312595,0.13218677923554714,-0.050672033505616415,0.30587741424320486,-0.21405349485893754,0.089,433,2000,0.972125,False
Location,S-100,0.10775901113635986,-0.08256014075018601,0.2862254068222814,-0.0006906767047330978,-0.014670754007149994,0.011465220983693212,0.10844968784109295,-0.0798500072203517,0.28831298611164075,-0.006409456596247949,0.9329329329329329,433,1998,1.0,False
Location,SMA,0.11169216220038006,-0.07354088440341398,0.28772461500713864,0.02026909055465956,-0.012122152297722448,0.06203618680733758,0.0914230716457205,-0.09355394058080825,0.26803081347637286,0.1814728102254483,0.25,433,2000,1.0,False
Location,KI_67,0.14324322567123135,-0.0698692491108341,0.3385675442364129,0.0952048461939718,-0.0063796853883077405,0.2171638845774575,0.04803837947725952,-0.12976598670657963,0.22625040900107898,0.6646376870378767,0.068,433,2000,0.972125,False
Ulceration,CD34,0.7233242754980845,0.0,1.1674176220458665,0.011867677803420264,-0.03806918378268607,0.167391819991643,0.7114565976946641,0.0,1.158161583448251,0.0164071332947427,0.9540918163672655,433,1503,1.0,False
Ulceration,CD117,0.4957776124664536,0.0,1.012741770341922,0.031718056459575844,-0.16051086121981767,0.35565097752792096,0.4640595560068777,0.0,0.8824924472494147,0.06397637904983461,1.0,433,1499,1.0,False
Ulceration,PDGFR-α,0.9380209923550558,0.7652845034777935,1.1048002483386177,-0.0017745155166813743,-0.02298652340553103,0.014719693953029384,0.9397955078717372,0.7647937432514046,1.1076224829610362,-0.0018917652495453877,0.8657314629258517,433,1996,1.0,False
Ulceration,Dog-1,0.9396352307830623,0.769874109424759,1.104018946514223,0.008885828137316134,-0.005845878186101316,0.03681683180208237,0.9307494026457462,0.7582213706982838,1.093249447488847,0.009456678343053363,0.354,433,2000,1.0,False
Ulceration,S-100,0.9340314111658616,0.7262968540426009,1.1069211897758375,0.00241477825544016,-0.0075598746200146606,0.01940780262476753,0.9316166329104213,0.726263218842237,1.0993652054458811,0.0025853287443791903,0.7723861930965483,433,1999,1.0,False
Ulceration,SMA,0.9512493639152024,0.786435362604569,1.1082124749580904,0.016548596832179307,-0.009301441744136506,0.0558565048857296,0.9347007670830232,0.7661615513810325,1.0913550398822744,0.017396696870384983,0.221,433,2000,1.0,False
